file,title,canonical,jsonld_count,noindex,og_title,twitter_card,em_dash_count,bytes
about.html,"The Product Operator","https://theproductoperator.ai/approach.html",0,1,0,0,0,455
ai-as-cost-vs-lever.html,"The Product Operator","",0,0,0,0,4,40018
ai-platform.html,"The Product Operator","",0,0,1,0,13,22091
approach.html,"The Product Operator","",0,0,1,0,1,12099
contact.html,"The Product Operator","",0,0,1,0,4,10615
data-as-the-ai-bottleneck.html,"The Product Operator","",0,1,1,1,3,34768
due-diligence.html,"The Product Operator","",0,0,1,0,6,12027
fractional-cpo.html,"The Product Operator","https://theproductoperator.ai/leadership.html",0,1,0,0,0,484
index.html,"The Product Operator","",0,0,1,0,7,13970
insights.html,"Operator Insights · The Product Operator","",0,0,1,0,0,11507
leadership.html,"The Product Operator","",0,0,1,0,10,12250
privacy.html,"The Product Operator","",0,1,0,0,21,19363
terms.html,"The Product Operator","",0,1,0,0,0,21649
thank-you.html,"The Product Operator","",0,1,0,0,0,6022
the-cim-cracks.html,"The Product Operator","",0,0,1,1,1,34214
the-drift-problem.html,"The Product Operator","",0,1,1,1,4,33571
the-execution-gap.html,"The Product Operator","",0,1,1,1,2,29301
the-people-vs-the-role.html,"The Product Operator","",0,0,1,1,4,30358
the-political-roadmap.html,"The Product Operator","",0,1,1,1,1,33653
the-product-operator-profile.html,"The Product Operator","",0,0,1,1,2,30158
the-three-lens-framework.html,"The Product Operator","",0,0,1,1,2,37756
